Model,HR@10,NDCG@10
NeuMF,0.4447916667712362,0.5538063309694591
NeuMF,0.4459429825607099,0.5587665598643453
NeuMF,0.44544956150807835,0.559753398832522
NeuMF,0.4452850878238678,0.560041973779076
NeuMF,0.446600877297552,0.558251712824169
NeuMF,0.44627192992913095,0.5578570930581344
NeuMF,0.4457785088764994,0.5586960654509695
NeuMF,0.44610745624492043,0.5584603849210237
NeuMF,0.4459429825607099,0.5583915290079619
NeuMF,0.4459429825607099,0.5577109474884836
NeuMF,0.44643640361334147,0.5573945196051346
NeuMF,0.446600877297552,0.5573740720748901
NeuMF,0.446600877297552,0.5575544570621691
NeuMF,0.44643640361334147,0.5576567863163195
NeuMF,0.4467653509817625,0.5572417202748751
NeuMF,0.44643640361334147,0.5573038016494952
NeuMF,0.44627192992913095,0.5573519320864426
NeuMF,0.44627192992913095,0.5573318202244608
NeuMF,0.446600877297552,0.5572456243791079
NeuMF,0.446600877297552,0.5572540160856749
NeuMF,0.44643640361334147,0.5572758991467325
NeuMF,0.44627192992913095,0.5576106011867523
NeuMF,0.44627192992913095,0.5577009856700897
NeuMF,0.44643640361334147,0.5576980418280552
NeuMF,0.44610745624492043,0.5577347836996379
NeuMF,0.44610745624492043,0.5576465813737167
NeuMF,0.44643640361334147,0.557455523390519
NeuMF,0.44643640361334147,0.557432362280394
NeuMF,0.44643640361334147,0.5573960552090093
NeuMF,0.44643640361334147,0.5575231548986936
