Model,HR@10,NDCG@10
GMF,0.10438596492535189,0.4642449884038222
GMF,0.11101973684210527,0.4617882085473914
GMF,0.14029605263157896,0.47715529360269243
GMF,0.19747807022772337,0.49543382399960567
GMF,0.26403508766701345,0.5139023636516772
GMF,0.31968201759614445,0.5272904085485559
GMF,0.3660087718775398,0.5325772298009772
GMF,0.3904605263157895,0.5373425558993691
GMF,0.40657894736842104,0.5397488236427307
GMF,0.41677631578947366,0.5441246678954677
GMF,0.42379385954455323,0.5464331931189487
GMF,0.4264802631578947,0.5487803227023075
GMF,0.43125,0.5482266338248002
GMF,0.43262061398280294,0.5501784537967883
GMF,0.4337171052631579,0.5516256558267694
GMF,0.4342105263157895,0.5523644961808857
GMF,0.43486842105263157,0.5540454315511804
GMF,0.4351973684210526,0.5542220294475555
GMF,0.4355263157894737,0.5540746701391119
GMF,0.4356907894736842,0.5544112961543234
GMF,0.4363486842105263,0.5549225869931673
GMF,0.43700657894736844,0.5548475023947264
GMF,0.4375,0.5548983228834052
GMF,0.4381578947368421,0.5552136079261177
GMF,0.4384868421052632,0.5554311592327921
GMF,0.43914473684210525,0.5551701674335882
GMF,0.4393092105263158,0.5553232964716459
GMF,0.4393092105263158,0.5560040712356568
GMF,0.43914473684210525,0.5563049589332781
GMF,0.4394736842105263,0.5559233583902058
