Model,HR@10,NDCG@10
MLP_1,0.4456140351922888,0.5563795575970097
MLP_1,0.4457785088764994,0.5564770824030826
MLP_1,0.446600877297552,0.5562399412456311
MLP_1,0.4467653509817625,0.5564063160043013
MLP_1,0.4467653509817625,0.5562657506842362
MLP_1,0.4467653509817625,0.5565758792977584
MLP_1,0.4467653509817625,0.556453842238376
MLP_1,0.4469298246659731,0.556360315649133
MLP_1,0.4469298246659731,0.5561862173833345
MLP_1,0.4469298246659731,0.5561626892340811
MLP_1,0.4472587720343941,0.5559077836965259
MLP_1,0.4472587720343941,0.5560804370202517
MLP_1,0.4474232457186046,0.5559106456606011
MLP_1,0.4474232457186046,0.5559163915483575
MLP_1,0.4474232457186046,0.5559039843709845
MLP_1,0.4474232457186046,0.5559039843709845
MLP_1,0.4472587720343941,0.5559853478481895
MLP_1,0.4472587720343941,0.5559853478481895
MLP_1,0.4470942983501836,0.5560673594474792
MLP_1,0.4470942983501836,0.5560790739561382
MLP_1,0.4470942983501836,0.5561221430176183
MLP_1,0.4470942983501836,0.5561317745007966
MLP_1,0.4470942983501836,0.5562705221929048
MLP_1,0.4470942983501836,0.5562705221929048
MLP_1,0.4470942983501836,0.5562705221929048
MLP_1,0.4470942983501836,0.5562502522217599
MLP_1,0.4470942983501836,0.5562398465056169
MLP_1,0.4470942983501836,0.5562398465056169
MLP_1,0.4470942983501836,0.5562398465056169
MLP_1,0.4470942983501836,0.5562398465056169
MLP_2,0.4472587720343941,0.5563064763420507
MLP_2,0.4457785088764994,0.5575754720913736
MLP_2,0.4462719299291309,0.5570910089894345
MLP_2,0.4461074562449204,0.5576410864528857
MLP_2,0.4461074562449204,0.5573103142412086
MLP_2,0.4462719299291309,0.5572376693549909
MLP_2,0.446600877297552,0.5569262739859129
MLP_2,0.4464364036133414,0.5570037543773652
MLP_2,0.446600877297552,0.5569311258039976
MLP_2,0.446600877297552,0.5568064805708434
MLP_2,0.4467653509817625,0.5566659202701167
MLP_2,0.4467653509817625,0.5566939865287982
MLP_2,0.4467653509817625,0.5565541414838088
MLP_2,0.4469298246659731,0.5565257856720373
MLP_2,0.4469298246659731,0.5565587376293383
